id,sent0,sent1,label
3997,I bought a necklace yesterday.,I bought a star yesterday.,1
3998,The river flows from the mountains to the plain,The river flows from the mountains to the sky,0
3999,Nancy used a lunch box to carry lunch to her company.,Nancy used a soap dish to carry lunch to her company,0
4000,A wedding is a traditional way to make a relationship official.,A weeding is a traditional way to make a relationship official.,1
4001,the bird sings beautiful songs,The bird sings beautiful story,0
4002,people go to the mall to shop and eat,people go to the mall to fish and eat,0
4003,If you want to kiss someone then you should clean your breath.,If you want to kiss someone then you should clean your feet.,1
4004,The Bible originated in Europe,The Bible originated in Asia,0
4005,C is an example of a programming language.,A is an example of a programming language.,1
4006,The hour hand is shorter than the minute hand,The hour hand is longer than the minute hand,0
4007,Some people like their hotdogs with relish.,Some people like their hotdogs with relic.,1
4008,A lion can knock people down.,A rabbit can knock people down.,0
4009,You may buy a pair of pants in the mall,You may buy a pair of pants in the restaurant,1
4010,I eat an apple without peeling it.,I eat a banana without peeling it.,1
4011,Heat prevents bacteria from growing.,Heat helps bacteria growing.,0
4012,Stone is solid,Stone is liquid,0
4013,most people must sell their labor to get food.,most people must sell their labor to get air.,1
4014,Turner started his own restaurant business.,Turner started her own restaurant business,0
4015,His father criticized him for breaking the glass,His father praised him for breaking the glass,0
4016,Telling is important when teaching others,Telling is unimportant when teaching others,1
4017,He is playing ball with dolphins,He is playing badminton with dolphins,1
4018,People usually eat moon cakes on mid-autumn festival,People usually eat moon cakes on spring festival,1
4019,Mice are afraid of cats.,Dogs are afraid of cats.,1
4020,Rainbow appears after rain.,Rainbow appears after snow.,0
4021,An album can contains songs.,A paper contains songs.,0
4022,Many humans go camping on weekends,Many dogs go camping on weekends,1
4023,A hair care article is for health,A hair care article is for funny,0
4024,Cats can jump onto a table or chair.,Turtles can jump onto a table or chair.,0
4025,I see a movie in the cinema.,I watch the opera in the cinema.,0
4026,The butterfly is turned from caterpillar,The butterfly is turned from bees,0
4027,My sister answered the phone.,My cat answered the phone.,0
4028,The child likes drinking milk.,The child likes drinking wines.,0
4029,A state is a position within a system,A state is a position within a box,0
4030,A mother can name her child.,A matter can name her child.,0
4031,Women often wear dresses in the summer.,Men often wear dresses in the summer.,0
4032,We read books with eyes.,The blind can't read any books.,1
4033,People jog to get in shape,People jump  to get in shape,1
4034,The baby put his toy in his mouth.,The baby put his top in his mouth.,1
4035,You can conquer your opponent if you understand him.,You can conquer your opponent without understanding him.,1
4036,Jack saw a panda in the zoo,Jack saw a dinosaur in the zoo,1
4037,A pen is for writing.,A drill is for writing.,1
4038,People can enrolled in middle school are older than people enrolled in elementary school,People can enrolled in middle school are younger than people enrolled in elementary school,1
4039,Mike can eat an egg.,Mike can eat an elephant.,1
4040,The father asked his 8-year-old son to buy a packet of salt.,The father asked his 8-year-old son to buy a packet of cigarette.,0
4041,Fires can be dangerous.,Fares can be dangerous.,0
4042,The pilot is piloting his plane across the Atlantic,The pilot is piloting his bus across the Atlantic,1
4043,The patient is recovering from illness in the hospital.,The patient is recovering from illness in a market.,0
4044,You are likely to find a cottage in the countryside,You are likely to find a White House in the countryside,0
4045,Smoking often damages health.,swimming often damages health.,1
4046,The teacher is friendly to his students and is loved by them,The teacher is friendly to his students and is hated by them,1
4047,fruit salad is a healthy food serving,junk food is a healthy food serving,1
4048,Most of us will cry when we finish watching a tragedy.,Most of us will cry when we finish watching a comedy.,1
4049,There are ducks swimming in the lake.,There are cats swimming in the lake.,1
4050,My mobile phone rings when somebody calls me.,My MP3 rings when somebody calls me.,0
4051,We went to the halal canteen for beef,We went to the halal canteen for pork,0
4052,my girlfriend smiled at me.,my bed smiled at me.,0
4053,Dogs are animals.,Flowers are animals.,1
4054,He took the injured dog to a hospital,He sent the injured dog to a cinema,1
4055,Steak is a type of food made from cattle,Steak is a type of food made from pig.,1
4056,Worms are much smaller than birds,Worms are much bigger than birds,0
4057,buying fresh fruits requires finding a local produce stand,buying fresh fruits requires finding a local hospital.,0
4058,words can state feelings,Words can show scenes,0
4059,You can take bread when you are hungry.,You can take a pill when you are hungry.,1
4060,She likes dreaming up an exciting adventure story.,She likes dreaming up an exciting adventure storage.,0
4061,They paid their taxes to their country.,They paid their taxes to their company.,0
4062,The doctor works in a hospital,The doctor works in a hotel,1
4063,Hair grows on the head,Hair grows on the ass,0
4064,You are likely to find a border on a board,You are likely to find a tiger on a board,0
4065,Something you find in a meadow is a blue flower,Something you find in a stone is a blue flower,0
4066,The cat gets some bread.,The cat gets some gold.,1
4067,oil is for putting in your car engine,water is for putting in your car engine,0
4068,A kiss is an act in which two people express affection for one another by pressing their lips together,A hug is an act in which two people express affection for one another by pressing their lips together,1
4069,Beijing is hot in summer.,Beijing is hot in winter.,1
4070,The monkey climbed up the tree,The monkey flew up the tree,0
4071,Helen was so tired that he slept.,Helen was so happy that he slept.,1
4072,some people seek knowledge,less people seek knowledge,1
4073,Sally drove a car to the mall.,Sally flew an airplane to the mall.,1
4074,Something that might happen while driving is transporting the family.,Something that might happen while driving is transporting the building.,0
4075,You may see a cat flying in the sky,You may see a cat flying in the sky,0
4076,Cat has nine lives,Cat has one lives,1
4077,studying for a subject is for those who wish to pass a test,studying for a subject is for those who wish to pass a class,1
4078,lighting a match is for creating a flame,lighting a match is for creating a flood,0
4079,we charge something it becomes glossy,we charge something it becomes small,0
4080,Mary was praised by her boss for her excellent work,Mary was scolded by her boss for her excellent work,1
4081,You might find a horse stable in a manor house.,You might find a house stable in a manor house.,0
4082,Birds can fly.,Fish can fly.,1
4083,a motorway is a place for cars to travel on,a motorway is a place for bikes to travel on,0
4084,The subway is faster than the bus,The subway is slower than the bus,0
4085,we must eat to sustain energy levels,we must exercise to sustain energy levels,0
4086,Panda's favorite food is bamboo,Panda's favorite food is stone,1
4087,My parents were excited about my good grade in an exam.,My parents were sad at my good grade in an exam.,1
4088,"John had more cakes than he should, so he was fat","John had more cakes than he should, so he was slim",1
4089,Crystal had a license for gun so she could buy a gun legally,Crystal had a license for gun so she could buy a gun illegally,1
4090,you will feel fit after you do exercise.,you will feel sad after you do exercise.,0
4091,A watch is for keeping track of time.,A book is for keeping track of time.,1
4092,Water has a surface,Universe has a surface.,1
4093,A person wants to live a long time,A person wants to live a short time,0
4094,Something a policeman can do is to fight against the criminal,Something a policeman can do is to fight against the innocent,1
4095,Ivy likes to watch movies on her cell phone at weekends,Ivy likes to watch movies on her calculator at weekends,0
4096,oscar is not handicapped,the deaf are not handicapped,0
4097,She counldn't see any buildings or roads.,She counldn't see any puddings or roads.,1
4098,Getting some physical activity is for being healthy.,Getting more drinks is for being healthy.,1
4099,Bags can be made of cloth.,Bags can be made of water.,0
4100,Water is the most common liquid on Earth.,Waiter is the most common liquid on Earth.,0
4101,You would attend school because you want to learn something.,You would attend school because you want to earn money.,1
4102,The cat catch mice,The cat play with the mice,0
4103,a calendar is for telling the date,a calendar is for writing emails,0
4104,Tuning forks are used for playing.,Tuning forks are used for eating.,1
4105,people usually read book.,dogs usually read book.,0
4106,Tony rode a horse when traveling in Mongolia,Tony rode a shark when traveling in Mongolia,0
4107,You can use GPS to locate yourself,You can use wifi to locate yourself,0
4108,You should spit grape seeds when eating grapes.,You should spit banana seeds when eating bananas.,0
4109,Something you can find in a school is books,Something you can find in a school is planes,1
4110,Cammels can survive in the deserts.,Horses can survive in the deserts.,1
4111,The balloon flew freely in the air.,The stone flew freely in the air.,0
4112,Tom ate a watermelon,Tom ate a stone,1
4113,You can use a tape dispenser to hold a roll of tape,You can use a tape dispenser to hold a roll of rope,1
4114,Jim lived in a tall building.,Jim lived in a tree.,1
4115,dynamite is an explosive,mercury is an explosive,1
4116,Tim had a party at his dining room last night,Tim had a party at his bathroom last night,1
4117,The place where the teacher works is the school,The place where the teacher works is the bank,1
4118,Obama delivered a speech with a microphone in public,Obama delivered a speech with a microscope in public,1
4119,detergent is for washing clothes,detergent is for washing face,0
4120,Summer is a time when rains happen frequently.,Summer is a time when snows happen frequently.,1
4121,my mother prond of me,my mother prond of me,0
4122,You are likely to find a mouthwash in the bathroom,You are likely to find a computer in the bathroom,1
4123,Wedding cards are expensively finished,Wedding cards are unexpensively finished,0
4124,"She felt like she stood in a whole new world, a world made of mountain peaks and stone.","She felt like she stood in a whole new world, a world made of mountain pearls and stone.",0
4125,You are likely to find a brass instrument in a school band,You are likely to find a brass instrument in a school playground,1
4126,If you want to chat with friends then you should get onto the computer,If you want to chat with friends then you should get onto the TV,1
4127,Lisa drove her children to school,Lisa drove her dogs to school,1
4128,Sports teachers mostly work outside of classrooms,Sports teachers mostly work inside of classrooms,0
4129,Humans can survive on earth,Humans can survive on Mars,0
4130,The density of iron is bigger than that of water,The density of iron is smaller than that of water,1
4131,An entranceway is for entering a place.,An exit is for entering a place.,1
4132,I just like to spend money on beautiful things,People just like to spend money on ugly things,1
4133,A teacher works in a school.,A cook works in a school.,1
4134,My dog eats bones.,My brother eats bones.,1
4135,You are likely to find a pillow case in around on a bed,You are likely to find a cabinet case in around on a bed,0
4136,If you want to skate then you should wear skates.,If you want to skate then you should wear sneakers.,0
4137,You can use a suitcase to pack clothes for a trip.,You can use a suit to pack clothes for a trip.,0
4138,A wheelchair is a chair on wheels that handicapped people can use to get around,A wheelchair is a desk on wheels that handicapped people can use to get around,1
4139,people enjoy socialising,people enjoy suffering.,1
4140,a dirty dish is for washing and putting away to eat off later,a dirty dish is for washing and throwing away to clear the house,0
4141,London is the capital of England.,London is the captain of England.,0
4142,The fuel of the car is gasoline,The fuel of the car is water,1
4143,Cat has two ears,Cat has two feet,1
4144,Something you find at a party is gifts,Something you find at a party is homework,1
4145,Mom uses the refrigerator to keep food cool,Mom uses the oven to keep food cool,1
4146,The gardener is pruning the bushes,The vet is pruning the bushes,1
4147,Thanos is the role of the Marvel universe,Flashman is the role of Marvel Universe,0
4148,You are likely to find a flooring in a home improvement store,You are likely to find a oven in a home improvement store,1
4149,XiJinping is the chairman of China,Li Keqiang is the chairman of China,0
4150,Horses run very fast.,Seahorses run very fast.,0
4151,You may see a nest in the tree,You may see a monster in the tree,1
4152,Augustine is a saint  He did not live in the same time as we,Augustine is a saint  He did live in the same time as we,1
4153,The man went to the park with his 5-year-old son.,The man went to a bar with his 5-year-old son.,1
4154,Plastic belong to insulator,Plastic belong to conductor,1
4155,Astronauts used an elevator to get on board the Saturn V spacecraft.,Astronauts used their wings to get on board the Saturn V spacecraft.,1
4156,A thousand is ten times a hundred.,A million is ten times a thousand.,1
4157,Tony runs with his dog,Tony plays badminton with his dog,0
4158,You can use a finger to control a VCR,You can use a stone to control a VCR,0
4159,The mother fries eggs for her children in the morning.,The mother fries stones for her children in the morning.,1
4160,If you want to apply for a job then you should have a resume.,If you want to apply for a job then you should have a dog.,1
4161,erasers can erase pencil markings,glue can erase pencil markings,1
4162,Rainbow has seven colors,Rainbow has five colors,0
4163,The earthworm is a segmented worm,The earthworm is a segmented mammal,0
4164,The dogs attacked the mailman,The stars attacked the mailman,1
4165,The tire went flat.,The tire went fat.,0
4166,he uses money to buy the ball.,he uses air to buy the ball.,0
4167,"After work, Tom would like to have a big meal at home","After work, Tom would like to have a big meal at hospital",0
4168,Ears are a place that some people decorate with jewelry or tattoos,Hair are a place that some people decorate with jewelry or tattoos,1
4169,A person wants to share his life with someone he loves.,A person wants to share his life with someone he hates.,1
4170,People eat home fries for breakfast.,People eat stones for breakfast.,0
4171,You may see a driver driving,You may see a child driving,0
4172,The butterfly landed on the flower,The butterfly landed on the sun,0
4173,China has 34 administrative regions,China has 34 provincial administrative regions,0
4174,Gloves are used to protect the hands,Gloves are used to protect the feet,0
4175,This is a red flower,this is a red trunk,1
4176,A moment can feel like a lifetime,A moment is a lifetime,0
4177,People sleep in beds.,People sleep in rivers.,1
4178,Difference between a strip mall and a patio: a patio is private,Difference between a strip mall and a patio: a patio is public,0
4179,People may taste bitterness when they drink coffee,People may taste spicy when they drink coffee,1
4180,You are likely to find a garage in a building,You are likely to find a bomb in a building,0
4181,Bicycle has two wheels,Bicycle has four wheels,0
4182,Coffee are made from beans.,Coffee are made from sand.,1
4183,A child can roll downhill on skates.,A child can roll uphill on skates.,0
4184,Babies have a father.,Babies have no father.,1
4185,A plumber can fix a faucet,A plumber can fix a computer,1
4186,he takes the cat back home,He takes the dinosaur back home,1
4187,Jack bought a book in a book shop.,Jack bought a dress in a book shop.,0
4188,I plan to be the top student in our school.,I plant to be the top student in our school.,1
4189,Vegatables are good for people.,Viruses are good for people.,0
4190,Neptune is farthest from the sun in the solar system,Mars is farthest from the sun in the solar system,1
4191,I must buy a ticket before go to a movie.,I must buy a newspaper before go to a movie.,0
4192,"they like to hold the baby,","they like to hold the tiger,",1
4193,Goldfish are fish.,Dogs are fish.,1
4194,A school is where you learn knowledge.,A hotel is where you learn knowledge.,1
4195,grass can stain clothes,grass can clean clothes,1
4196,he only has one foot,He only has two feet,1
4197,people use chopsticks to eat noodles,people use lipsticks to eat noodles,0
4198,Chinese flag has a five-pointed star pattern,Japanese flag has a five-pointed star pattern,0
4199,Jack likes to play football at the playground.,Jack likes to play foot at the playground.,1
4200,It is illogical to believe in magic,It is logical to believe in magic,0
4201,You are likely to find a lemur in trees,You are likely to find a elephant in trees,1
4202,a hardware shop is for buying screws and nails,a fruit shop is for buying screws and nails,0
4203,You are likely to find a car in a garage,You are likely to find a roof in a garage,0
4204,Plastic forks are cheap and disposable,Plastic forks are expensive and disposable,1
4205,"a person wants to drink cool, clear water.","a person wants to drink cool, dirty water.",0
4206,Shoes are articles of clothing.,Necklaces are articles of clothing.,0
4207,Antarctica is colder than many places.,The Arctic Pole is warmer than many places.,0
4208,It's a pleasure to accept the honors.,It's a shame to accept the honor.,1
4209,susan uses his mobilephone to call john.,susan uses his bike to call john.,1
4210,heroin is bad for people.,heroin is good for people,0
4211,Dogs like eating bones.,Dogs don't like eating meat.,1
4212,giving assistance is for pleasure,giving assistance is for revenge,1
4213,guilty people are punished,guilty people are praised.,0
4214,People singing while taking a shower,People eating while taking a shower,1
4215,Elephants carry goods with their long trunks,Elephants carry goods with their long necks,1
4216,You may find a caterpillar in the soil,You may find a lion in the soil,1
4217,Cicada is an insect.,Carduelis is an insect.,1
4218,Punching someone is for hurt someone.,Punching someone is for help someone.,1
4219,The phone rang and he picked it up.,The phone rang and he put it down.,1
4220,He wants to have some friends.,He wants to have some fiends.,1
4221,Something you need to do before you fall is watch your step,Something you need to do before you fall is watch your hand,1
4222,The shape of the earth is oval,The shape of the earth is square,0
4223,Ice melts into water,Ice melts into stone,1
4224,I can use a grill to cook,I can use a washer to cook,1
4225,a viola is for playing,a viola is for eating,0
4226,Mozart is a musician,Mozart is a scientist,0
4227,It's cold since it's snowing.,It's hot since it's snowing.,1
4228,A baking oven is used to cook food.,An iron is used to cook food.,0
4229,Apples grow on a tree.,Potatoes grow on a tree.,0
4230,Going for a haircut is for grooming,Going for a haircut is for eating,1
4231,Birds usually eat pests.,Birds usually eat vipers.,1
4232,His dog has a worse vision than him.,His dog has a worse hearing than him.,0
4233,The doctor got sick.,The dumplings got sick,1
4234,I have to do business.,I have to do buses.,1
4235,The judge ruled the guilty.,The doctor ruled the guilty.,0
4236,Pamela is a woman's name,Pamela is a man's name,1
4237,Wheels is part of a motor vehicle.,A car window is part of a motor vehicle.,1
4238,If you want to take a bath then you should use a soap.,If you want to take a bath then you should use a stone.,0
4239,"If you drop a contact lens, it can be hard to find","If you drop a contact lens, it can be easy to find",0
4240,Bob smoked on the balcony.,Bob smoked in the elevator.,0
4241,a madman killed a person.,a madman killed a stone.,1
4242,Coffee is bitter.,Sugar is bitter.,1
4243,My family eat mooncakes at Mid-Autumn Festival.,My family eat mooncakes at Christmas.,1
4244,Joe was a hunter,The bird was a hunter,0
4245,The kitchen is used for cooking.,The library is used for cooking.,0
4246,A storm is coming so we should go home,A storm is coming so we should go swimming,0
4247,Evolution is a change in the gene pool of a population over time,Evolution is a stable in the gene pool of a population over time,1
4248,Something you find in class is students,Something you find in class is salesmen,1
4249,Sally chopped the carrots.,Sally chopped the parrots.,1
4250,Men often wear shorts in summer.,Men often wear skirts in summer.,1
4251,A store refrigerator is for storing cheese,A store stove is for storing cheese,1
4252,If you want to play tennis then you should wear tennis shoes.,If you want to play tennis then you should weat skates.,1
4253,refrigerators keep food fresh,baskets keep food fresh,1
4254,the higher you go the colder it gets,The higher you go the hotter it gets,1
4255,Grandma held the baby.,The baby held grandma.,0
4256,Mike traveled with his family to Japan every summer.,Mike traveled with his family to the sun every summer.,0
4257,We can sent our friends a toy at their birthday,We can sent our friends a moon at their birthday,1
4258,The effect of going on the stage is joy,The effect of going on the stage is sad,0
4259,Monet is a painter,Monet is a physicist,0
4260,You should find a computer that's on the net,You should find a computer that's on the Mars,1
4261,We often set the clock to wake us up the night before,We often set the oven to wake us up the night before,1
4262,you sign a contract,You sign bread,0
4263,He always yells at people when he's angry.,He always yells at people when he's happy.,0
4264,The plane is faster than the car,The plane is slower than the car,0
4265,You are likely to find a fox in a hole under a ficus,You are likely to find a shark in a hole under a ficus,0
4266,"This is a photograph of a collection of fruit, including apples, oranges, bananas, grapes, and a pineapple.","This is a photographer of a collection of fruit, including apples, oranges, bananas, grapes, and a pineapple.",1
4267,If you want to listen then you should pay attention to whatever is producing the sound,If you want to listen then you should pay attention to whatever is producing the heat,0
4268,You would examine a thing because it is complex,You would examine a thing because it is simple,1
4269,you want to surf the net,You want to eat the net,0
4270,bark is part of a tree,bark is part of a computer,0
4271,Football is round,Football is square,0
4272,A friend is a person who cares about you.,An enermy is a person who cares about you.,0
4273,Jars can contain food,Chopsticks can contain food,1
4274,We picked the apple from the tree,We picked the watermelon from the tree,0
4275,My brother feeds fish to his cat everyday.,My brother feeds glass to his cat everyday.,0
4276,Something you find in the newspaper is words,Something you find in the newspaper is music,0
4277,The second hand is longer than the hour hand,The second hand is shorter than the hour hand,1
4278,He took the dirty clothes to the dry cleaner,He took the dirty clothes to the gym,1
4279,The nightingale is a bird,The nightingale is a elephant,0
4280,Shared accomodation does not provide much privacy,Shared accomodation does not provide much exposal,1
4281,A gardener can plant seeds in her garden.,A gardener can feed lion in her garden.,0
4282,Something you might do while going to a performance is to watch,Something you might do while going to a performance is to talk,0
4283,People sang to music in ancient times.,Pigs sang to music in ancient times.,0
4284,James would like to try the restaurant because people's comments for it are good,James would like to try the restaurant because people's comments for it are bad,0
4285,The moon is the satellite of the earth,The moon is a satellite of the Mars,1
4286,when water and electricity are together there will be a short circuit,when water and plug are together there will be a short circuit,0
4287,San Francisco is a city,San Francisco is a town,0
4288,My age is 74 years,My age is 1000 years,1
4289,The restaurant serves food for earning money.,The restaurant serves food free of charge.,1
4290,I can dance to music.,My dog can dance to music.,1
4291,Sally was a teacher.,Sally was a Teach.,0
4292,Canada is a country in north America,France is a country in north America,0
4293,The Indian shot the buffalo.,The buffalo shot the Indian,1
4294,John decided to go to the store.,John decided to go to the stone.,0
4295,Sometimes reading a magazine causes interest.,Sometimes reading a megacity causes interest.,0
4296,You would find a tree in lawn,You would find a tree in stone,0
4297,Earth is the third planet in the solar system,Mercury is the third planet in the solar system,0
4298,A single piece of information is called a datum,A single piece of information is called a book,1
4299,The doctor saved the sick man.,The doctor saved the dead man.,1
4300,A bucket is for carrying liquids,A basket is for carrying liquids,0
4301,"When you want to pee, you should go to the toilet","When you want to pee, you should go to the kitchen",1
4302,I like watching TV with my doll.,My doll and I like watching TV.,0
4303,If you want to make friends then you should be amiable,If you want to make friends then you should be devils,1
4304,a car is opaque,A car is lucent,1
4305,You can use a holding bay to store an item,You can use a holding bay to delete an item,1
4306,Mom takes hot soup out of the microwave oven,Mom took hot soup from the refrigerator,1
4307,A forest is a group of many trees and plants.,An ocean has many trees and plants.,0
4308,Tom asked his classmates to hand in his homework to the teacher,Tom asked his classmates to hand in his homework to the principal,0
4309,You would make bread,You would make a sun,1
4310,Kangaroo meat is a healthy alternative to other red meats.,Kangaroo meet is a healthy alternative to other red meats.,1
4311,"When people say ""Potato, potahto"", they mean there is no big difference","When people say ""Potato, tomato"", they mean there is no big difference",0
4312,May equiped a security monitor at her home to watch over her cats,May equiped a security guard at her home to watch over her cats,1
4313,Human lives on the moon,Human lives on the moon,1
4314,"When we are frightened, we are afraid","When we are frightened, we are happy",0
4315,a blade can be used to cut,a spoon can be used to cut,0
4316,A suitcase is for carrying documents.,A suitcase is for carrying stones.,0
4317,There is a bald eagle standing on the branch,There is a bald eagle standing on the sun,1
4318,Smoking is harmful to health,Smoking is good to health,0
4319,cutting your hair is for a hair dresser to do,cutting your hair is for a cook to do,0
4320,Baseball is a sport involving two teams of players,Baseball is a sport involving one teams of players,1
4321,Leaves catch the sunlight and water to helpa plant live,Leaves catch the sunlight and water to helpa animal live,0
4322,The last thing you do when you go to the mall is walk out the exit,The first thing you do when you go to the mall is walk out the exit,1
4323,If you want to surf the net then you should have a modem,If you want to surf the net then you should have a surfboard,0
4324,Human beings life on earth,Human beings live on Mars,0
4325,day is part of week.,meter is part of week.,0
4326,The boys crossed the river by swimming.,The boys crosses the river by flying.,1
4327,Cigarettes do harm to health.,Cigarettes are good for health.,1
4328,Sheila raised her hand,Sheila raised her tail,0
4329,Jeff prints with a printer,Jeff prints with a tractor,1
4330,Water and ice are the same substance,Water and ice are not the same substance,1
4331,Vases are usually made of glass,Vases are usually made of gold,1
4332,i am jumping,I am flying,1
4333,A drug has a medical effect,A stone has a medical effect,0
4334,I can buy some clothes in clothing shops.,I can buy some books in clothing shops.,0
4335,"If you fall in love with someone, he can kiss you","If you fall in love with someone, he can beat you",0
4336,The patient is sent to the hospital.,The patient is sent to the police.,0
4337,uranium is radioactive,carbon is radioactive,1
4338,I am reading newspapers now.,My cat is reading newspapers now.,0
4339,It was windy and cold.,It was wendy and cold.,0
4340,A judge can free a convict of jail time,A teacher can free a convict of jail time,1
4341,It is very hot all the year round in the equator,It is very cold all the year round in the equator,0
4342,scissors are used to cut,scissors are used to sew,0
4343,Highway belongs to public property,Highway belongs to private property,0
4344,A tortoise can race a hare.,A tortoise can race a hair.,0
4345,You would sate your hunger because you want to live.,You would sate your hanger because you want to live.,0
4346,You may find a tooth in your mouth,You may find a tooth in your ear,0
4347,Glass can break.,Grass can break.,0
4348,An student can read books.,A dog can read books.,0
4349,The spaceship went to outer space,The plane went to outer space,0
4350,A river is a large flow of water,A river is a large flow of stone,0
4351,diamond is very expensive,diamond is very cheap,0
4352,Snake is a cold-blooded animal,Dog is a cold-blooded animal,1
4353,The policeman arrested the suspect,The baby arrested the suspect,1
4354,Sally uses perfume every morning before setting off to work,Sally uses pepper spray every morning before setting off to work,1
4355,A house has a roof.,A house has no roof.,1
4356,Human body temperature is constant,Human body temperature is changing,1
4357,You are likely to find a teakettle in a kitchen,You are likely to find a TV in a kitchen,0
4358,You can use a bathroom to take a bath.,You can use a study to take a bath.,0
4359,Physicists are sending rockets to the moon,Biologists are sending rockets to the moon,1
4360,Sue was pregnant,A man was pregnant,1
4361,There are many trees and flowers in the school.,There are many trains and flowers in the school.,0
4362,Pizza is usually eaten by hand,Pizza is usually eaten by chopsticks,0
4363,Lions are carnivores,Lions are herbivores,1
4364,A timer can time a race.,An earphone can time a race.,1
4365,Someone is having a birthday,nobody has birthday,1
4366,Giving a gift is for celebrating a promotion.,Criticism is for celebrating a promotion.,0
4367,You can use fire to cook,You can use water to cook.,0
4368,Dolphins played in front of the ship in the sea.,Snakes played in front of the ship in the sea.,0
4369,My parents are excited about my first prize.,My parents are disappointed at my first prize.,0
4370,Monet was french,Monet was a tire,0
4371,People are shorter than giraffes,People are taller than giraffes,1
4372,The woman gave birth.,The man gave birth.,1
4373,You are likely to find a reception area in dental office,You are likely to find a cooking area in dental office,0
4374,You can play music with your guitar.,You can play music with your ball.,1
4375,Everest is higher than Mount Fuji,Mount Everest is lower than Mount Fuji,1
4376,You can use cotton to make a pillow.,You can use plastic to make a pillow,1
4377,Something you find at a race track is a car,Something you find at a race track is a boat,0
4378,You may find a dress in the washing machine,You may find a stone in the washing machine,1
4379,you want to eat bread,You want to eat a desk,1
4380,Bones contain calcium,Plastic contain calcium,0
4381,Something you find in a meadow is a horse,Something you find in a pond is a horse,0
4382,You are likely to find an anemone in salt water,You are likely to find an anemone in fresh water,1
4383,The quest for knowledge would make you want to read a book,The quest for knowledge would make you want to play vedio games,1
4384,I can listen to others without opening my mouth.,I can talk to others without opening my mouth.,0
4385,He put the letter into the envelope,He put the e-mail into the envelope,1
4386,Cycling requires balance.,Cycling requires balcony.,0
4387,My mother buys a sweater for me.,My mother buys a swear for me.,0
4388,Humans can't survive without air,Humans can't survive without ants,1
4389,Stephen Hawking is a scientist.,Mark Twain is a scientist.,0
4390,We imply many people,We eat many people,0
4391,Doctor Stephen Strange was a doctor at the beginning,Doctor Stephen Strange was a lawyer at the beginning,1
4392,You will keep smiling when talking to others,You will keep detesting when talking to others,0
4393,Cobra belongs to animals,Cobra belongs to plant,1
4394,You can eat on a table,You can dance on a table,0
4395,The duty of the policer is to protect people from harm,The duty of sanitation workers is to protect people from harm,1
4396,You are likely to find seahorse in ocean,You are likely to find horse in ocean,1
4397,You are likely to find a mouse in a research laboratory,You are likely to find a dinosaur in a research laboratory,0
4398,You can see the sun during the day.,You can see the moon during the day.,0
4399,The sky is blue,The sky is yellow,0
4400,Lily put on a dress for a ball,Lily put on a T-shirt for a ball,1
4401,giving a gift requires a person to give it to,giving a gift requires a toy to give it to,1
4402,I can go out without wearing a coat.,I can go out without wearing clothes.,0
4403,Soil provides nutrients for plants,stone provides nutrients for plants,1
4404,People laugh when they are happy,People cry when they are happy,1
4405,Sally's old students came back to visit her.,Sally's old studios came back to visit her,0
4406,Glass may be easily broken.,Diamonds may be easily broken.,1
4407,You may find a sparrow on the tree,You may find a duck on the tree,0
4408,People put the garbage can in the rubbish basket,People put the garbage can in the basket,0
4409,writing a term paper requires focused attention,writing a term paper requires distracted attention,1
4410,Men often wear shorts in summer.,Men often wear shorts in winter.,1
4411,Jane drank a bottles of water.,Jane drank a bottle of oil.,0
4412,Sarah sent Jim a Christmas present.,Santa Claus sent Jim a Christmas present.,0
4413,Bread is made from wheat.,Bread is made from sand.,1
4414,Fish can swim.,Birds can swim.,1
4415,A drill is used for drilling holes.,A pen is used for drilling holes.,0
4416,Flowers and insects are very different.,Flowers and insects have no relationship.,1
4417,You would eat in a fast food restaurant.,You would eat in a  fast food astronaut.,1
4418,Sharks hunt whale in the sea,Sharks hunt sheep in the sea,0
4419,Coke is made of syrup.,Coke is made of alcohol.,0
4420,An ornamental glass globe might be a collectable item,An ornamental glass globe might be worthless,0
4421,You are likely to find a heifer in a barnyard,You are likely to find a dolphin in a barnyard,1
4422,I drove a car on the road.,I drove a ship on the road.,1
4423,Mary brought a silk blanket to her flight in case it would be cold,Mary brought a silk blanket to her flight in case it would be hot,0
4424,A king is for leading the country.,A kid is for leading the country.,1
4425,If you want to stay healthy then you should eat less red meat,If you want to stay healthy then you should eat more red meat,1
4426,Not all rich people are immoral,All rich people are immoral,0
4427,Sally used a knife.,Sally used a life.,0
4428,Jill wrote a message with a pen.,Jill wrote a message with a branch.,1
4429,If you want to have a pee then you should find a bathroom,If you want to have a pee then you should find a living room,0
4430,If you want to have a rest then you should try to sleep,If you want to have a rest then you should try to laugh,0
4431,I am looking at a picture.,The picture is looking at me.,1
4432,The origin of Christmas in US,The origin of Christmas in China,1
4433,Something you might do while attending school is take a test,Something you might do while attending meeting is take a test,1
4434,The residents of the China are very friendly,The residents of the moon are very friendly,0
4435,Sugar is a sweet food,Sugar is a bitter food,1
4436,Every single kid laughed loudly and fiercely.,Every single kid loved loudly and fiercely.,0
4437,Formal reprimand is the most popular form of official reprisal,informal reprimand is the most popular form of official reprisal,1
4438,It is hot in summer,It is hot in the deep ocean.,1
4439,I have an examination,I have a living panda,1
